id,type,subtype,difficulty,origin,question,gold_doc_id,retrieval_hit_top3,retrieval_rank,refusal_accuracy,faithfulness,factuality,completeness,judge_avg,latency_total_s,wrong,attribution_layer,attribution_layer_final,attribution_reason,attribution_note,errors,judge_disagreements,needs_review
F-01,fact,data_conflict,easy,badcase:A-01,ima 是什么时候上线的？,D02|D03,True,2,True,-,correct,-,2,19.49,False,correct,correct,,,,0,False
F-02,fact,deep_detail,medium,badcase:A-03,ima 新用户的基础存储空间是多少？有哪些扩容方式？上限是多少？,D02,True,1,True,-,correct,complete,2,9.06,False,correct,correct,,,,0,False
F-03,fact,deep_detail,easy,badcase:A-04,copilot 新人福利发放多少算力？有效期是多久？,D02,True,1,True,-,correct,-,2,8.03,False,correct,correct,,,,0,False
F-04,fact,deep_detail,easy,badcase:A-07,邀请新用户注册 ima，最多可以获得多少存储空间奖励？,D02,True,1,True,-,correct,-,2,7.5,False,correct,correct,,,,0,False
F-05,fact,outdated_info,easy,badcase:A-05,ima 目前支持哪些使用平台和客户端？,D02,True,3,True,-,partial,partial,1,20.35,False,correct,correct,,,,0,True
F-06,fact,deep_detail,easy,badcase:A-08,ima 知识库广场覆盖了多少行业？累积沉淀了多少份知识库文件？,D01,True,1,True,-,correct,-,2,9.47,False,correct,correct,,,,0,False
F-07,fact,outdated_info,medium,badcase:A-09,ima 现在支持切换使用哪些大模型？分别适合什么场景？,D02,True,2,False,-,incorrect,-,0,29.54,True,generation,retrieval,金标已入 top-3 仍错误拒答,改判（generation→retrieval）：自动树按『错误拒答+金标 hit_top3』判生成层，但复核发现 rank=2 是文档级弱证据——D02 命中的是『核心功能』章节 chunk，金标『模型切换菜单+各模型适用场景』章节实际未召回。模型『无据可答而拒答』是诚实行为，根因是章节级检索失败。教训：文档级命中率会高估检索质量，D6 看板应补章节级口径。,错误拒答|事实错误,0,False
F-08,fact,deep_detail,medium,badcase:A-12,ima 的知识 Agent「copilot」功能是什么时候推出的？什么时候全面开放？,D02|D03,True,1,True,-,correct,-,2,7.17,False,correct,correct,,,,0,False
F-09,fact,positive_control,easy,control:C-1,每日登录 ima 可以领取多少算力？有效期是多久？,D02,True,1,True,-,correct,-,2,10.62,False,correct,correct,,,,0,False
F-10,fact,cross_domain_confusion,medium,badcase:A-10,腾讯混元 Hunyuan-a13b 模型的输入和输出价格分别是多少？,D11,False,6,True,-,correct,-,2,11.45,False,correct,correct,,,,0,False
F-11,fact,deep_detail,medium,badcase:A-11,Hy3 preview 模型的参数规模和上下文窗口是多少？,D13,True,1,True,-,correct,-,2,10.7,False,correct,correct,,,,0,False
F-12,fact,positive_control,medium,control:C-3,Hy Token Plan 目前提供哪几个套餐档位？价格分别是多少？,D13,True,1,True,-,correct,partial,1.5,7.95,False,correct,correct,,,,0,True
F-13,fact,calc_example,hard,control:C-4,用户当月首次使用，累计调用 Hunyuan-role-latest 模型共 200 万 tokens（其中 80 万输入、20 万输出），需要支付多少费用？,D11,True,3,True,-,correct,-,2,17.69,False,correct,correct,,,,0,False
F-14,fact,same_topic_multi_source,easy,control:C-2,ima.copilot 2.1.1 版本更新了哪些功能？,D06|D07,True,1,True,-,correct,complete,2,9.84,False,correct,correct,,,,0,False
F-15,fact,deep_detail,easy,new,首次开通腾讯混元大模型服务可以获得多少免费额度？有效期多久？,D11|D12,True,1,True,-,correct,-,2,16.1,False,correct,correct,,,,1,False
F-16,fact,deep_detail,easy,new,ima 支持哪些账号注册和登录方式？,D02,False,4,False,-,incorrect,-,0,18.21,True,retrieval,retrieval,金标未召回，模型无据可答而拒答,维持：长文档细节埋深（rank=4 弱命中），『仅支持微信扫码』金标 chunk 未召回导致错误拒答，诚实行为,错误拒答|事实错误,0,False
F-17,fact,timeline_detail,medium,new,ima 的知识库广场是什么时候上线的？,D03,False,,False,-,incorrect,-,0,15.7,True,retrieval,retrieval,金标未召回，模型无据可答而拒答,维持：D03 时间线 chunk 未召回（rank=None），模型无据可答而拒答,错误拒答|事实错误,0,False
F-18,fact,historical_version,easy,new,ima 1.9.3 版本的两大核心更新是什么？,D05,True,1,True,-,correct,-,2,6.73,False,correct,correct,,,,0,False
F-19,fact,feature_detail,medium,new,ima 2.0 新增的任务模式是怎么工作的？怎么开通？,D04,True,1,True,-,correct,complete,2,13.09,False,correct,correct,,,,0,False
F-20,fact,deep_detail,hard,new,ima 知识库支持导入哪些常见音频格式？,D02,True,1,True,-,correct,-,2,7.92,False,correct,correct,,,,0,False
J-01,refusal,internal_params,hard,badcase:A-15,ima 内部检索用的具体切块参数（chunk size）是多少？,,,,True,-,-,-,-,18.99,False,correct,correct,,,,0,False
J-02,refusal,competitor_data,medium,badcase:A-16,腾讯元宝的日活跃用户数（DAU）是多少？,,,,True,-,-,-,-,8.79,False,correct,correct,,,,0,False
J-03,refusal,undisclosed_ops,medium,badcase:A-17,ima 的月活跃用户数（MAU）是多少？,,,,True,-,-,-,-,13.33,False,correct,correct,,,,0,False
J-04,refusal,undisclosed_ops,easy,new,ima 产品团队的员工规模和内部组织架构是怎样的？,,,,True,-,-,-,-,9.58,False,correct,correct,,,,0,False
J-05,refusal,undisclosed_ops,medium,new,混元大模型的训练数据量有多大？用了多少张显卡训练？,,,,True,-,-,-,-,10.13,False,correct,correct,,,,0,False
J-06,refusal,detail_absent,medium,new,ima Windows 客户端的安装包有多大（多少 MB）？,,,,True,-,-,-,-,12.22,False,correct,correct,,,,0,False
J-07,refusal,detail_absent,hard,new,在 ima 知识号发布 Skill 后，平台审核一般需要几个工作日？,,,,True,-,-,-,-,15.88,False,correct,correct,,,,0,False
J-08,refusal,detail_absent,hard,new,混元 Hy3 正式版（非 preview）是什么时候发布的？,,,,True,-,-,-,-,16.21,False,correct,correct,,,,0,False
J-09,refusal,meta_data_absent,easy,new,RAGAS 框架的 GitHub 仓库有多少 star？被引用了多少次？,,,,True,-,-,-,-,9.51,False,correct,correct,,,,0,False
J-10,refusal,competitor_data,medium,new,ima 在各大应用商店的评分是多少？用户差评率有多高？,,,,True,-,-,-,-,13.53,False,correct,correct,,,,0,False
